,soil moisture,ssm
2018-05-28,0.35979999999999995,85.5
2018-05-29,0.3562,79.0
2018-05-30,0.3553,71.0
2018-06-01,0.1191,79.5
2018-06-02,0.1218,74.5
2018-06-03,0.1267,73.0
2018-06-04,0.114,78.0
2018-06-05,0.399,65.5
2018-06-07,0.33509999999999995,75.0
2018-06-08,0.3079,67.0
2018-06-09,0.3043,68.0
2018-06-13,0.3423,75.0
2018-06-14,0.3404,80.5
2018-06-15,0.3381,80.5
2018-06-16,0.3403,69.5
2018-06-17,0.3381,71.5
2018-06-20,0.3616,78.5
2018-06-21,0.3634000000000001,87.5
2018-06-22,0.3669,83.5
2018-06-25,0.358,83.0
2018-06-26,0.3551,89.0
2018-06-27,0.353,71.5
2018-06-28,0.353,83.5
2018-06-29,0.34990000000000004,75.0
2018-07-01,0.1176,93.0
2018-07-02,0.1237,83.5
2018-07-03,0.1246,69.5
2018-07-04,0.111,63.0
2018-07-05,0.3953,73.0
2018-07-07,0.3358,72.5
2018-07-08,0.3078,74.5
2018-07-09,0.3049,76.0
2018-07-13,0.3269,80.5
2018-07-14,0.3255,69.0
2018-07-15,0.3249,68.5
2018-07-16,0.3231,67.0
2018-07-17,0.3195,76.0
2018-07-19,0.3114,92.5
2018-07-20,0.3147,74.0
2018-07-21,0.3276,74.0
2018-07-22,0.33020000000000005,67.5
2018-07-23,0.3423,98.5
2018-07-25,0.34090000000000004,91.5
2018-07-26,0.3478,74.0
2018-07-27,0.3566,85.0
2018-07-28,0.33990000000000004,70.0
2018-07-29,0.3356,71.5
2018-07-31,0.3348,82.0
2018-08-01,0.1178,93.5
2018-08-02,0.1286,75.0
2018-08-03,0.1277,58.5
2018-08-04,0.1133,82.5
2018-08-06,0.3448,69.0
2018-08-07,0.3395,60.0
2018-08-08,0.3095,71.5
2018-08-09,0.3019,71.0
2018-08-13,0.3176,83.0
2018-08-14,0.3173,70.0
2018-08-15,0.3166,65.5
2018-08-16,0.3143,72.5
2018-08-18,0.3145,71.0
2018-08-19,0.3121,64.5
2018-08-20,0.3124,70.0
2018-08-21,0.316,73.0
2018-08-22,0.3151,74.5
2018-08-24,0.3146,79.5
2018-08-25,0.3134,91.5
2018-08-26,0.3153,71.0
2018-08-27,0.3165,50.5
2018-08-28,0.3168,58.0
2018-08-30,0.3094,78.0
2018-08-31,0.31370000000000003,61.5
2018-09-01,0.1162,68.0
2018-09-02,0.1251,67.5
2018-09-03,0.128,67.0
2018-09-13,0.3012,56.0
2018-09-14,0.3002,46.0
2018-09-15,0.305,66.0
2018-09-17,0.3145,66.5
2018-09-18,0.314,74.0
2018-09-19,0.315,82.0
2018-09-21,0.316,76.0
2018-09-23,0.3184,76.0
2018-09-24,0.319,76.5
2018-09-25,0.32049999999999995,75.0
2018-09-26,0.32130000000000003,71.0
2018-09-27,0.322,73.0
2018-09-29,0.322,61.0
2018-09-30,0.32,71.5
2018-10-01,0.1155,65.0
2018-10-02,0.1133,68.0
2018-10-03,0.1239,49.0
2018-10-05,0.3921,57.5
2018-10-06,0.344,31.5
2018-10-07,0.3336,70.5
2018-10-08,0.3073,22.0
2018-11-01,0.1186,75.5
2018-11-02,0.1133,54.5
2018-11-04,0.1103,39.0
2018-11-05,0.3877,76.5
2018-11-06,0.3436,56.5
2018-11-07,0.3308,42.5
2018-11-08,0.3102,33.5
2018-12-01,0.1178,15.0
2018-12-02,0.1175,27.0
2018-12-04,0.1118,6.5
2018-12-05,0.3928,5.5
2018-12-06,0.3427,6.5
2018-12-07,0.32770000000000005,1.0
2018-12-08,0.3183,3.5
