location,lat,lon,location_veg_class,product,triplet,anomaly,n,snr,r,err_std,beta
851814,57.875,13.625,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,134,-6.894680651877074,1.0815010283120097,0.04736580115358263,1.4138134739205148
850377,57.625,14.375,Evergreen Needleleaf Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,34,-9.830955219278923,1.0551009587546945,0.033575306973862434,1.0
850377,57.625,14.375,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,34,-5.416805014094268,1.107433069014833,0.020198191329653142,0.0013754471219453266
850377,57.625,14.375,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,34,-8.254779958123496,1.066695905981764,0.028003429989087687,0.8502251152620476
843171,56.375,12.875,Mixed Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,96,-2.7342421641863264,1.2556355920289255,0.021780831506723542,1.0
843171,56.375,12.875,Mixed Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,96,-5.487673066889258,1.1058176304282394,0.029905151061682494,0.0019200616949499102
843171,56.375,12.875,Mixed Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,96,27.543794288868906,0.9823268881744606,0.0006670718786463338,0.3493165438175029
841735,56.125,13.875,Mixed Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,115,-9.341198500601712,1.0582470639629007,0.0274397373215514,1.0
841735,56.125,13.875,Mixed Forest ,ASCAT 12.5 TS,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,115,-4.231347350716811,1.144320074392662,0.01523657634472691,0.001331283116710702
841735,56.125,13.875,Mixed Forest ,SMAP L3 Enhanced,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,115,7.444459965819278,0.9389244724857959,0.003972802964372677,0.1921713961091404
840296,55.875,14.125,Mixed Forest ,ERA5 0-1,"('ERA5 0-1', 'ASCAT 12.5 TS', 'SMAP L3 Enhanced')",anomaly,228,-2.13888604191397,1.3704199996441162,0.024092498318176062,1.0
