location,lat,lon,location_veg_class,prod_name,triplet,anomaly,n,err_std,r
844614,56.625,13.625,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,131,0.0010946,0.66095
844614,56.625,13.625,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,131,0.00082074,0.41669
844614,56.625,13.625,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,131,125.529,0.57593
844615,56.625,13.875,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,128,0.0013285999999999999,0.48035
844615,56.625,13.875,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,128,0.00065182,0.55928
844615,56.625,13.875,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,128,134.4552,0.51835
844616,56.625,14.125,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,111,0.0017296,0.42173
844616,56.625,14.125,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,111,0.00076423,0.35755
844616,56.625,14.125,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,111,83.7147,0.72701
844617,56.625,14.375,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,64,0.0010630999999999998,0.58282
844617,56.625,14.375,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,64,0.00072303,0.25905
844617,56.625,14.375,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,64,104.6749,0.60288
844618,56.625,14.625,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,12,0.0026671999999999998,0+0.79901i
844618,56.625,14.625,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,12,0.00010388,0+0.22214i
844618,56.625,14.625,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,12,556.9185,0+0.41343i
844619,56.625,14.875,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,11,0.00027474,0.81264
844619,56.625,14.875,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,11,0.0001016,0.053699
844619,56.625,14.875,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,11,272.3789,0.59279
844620,56.625,15.125,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,54,0.0023696,0+0.36822i
844620,56.625,15.125,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,54,0.00073909,0+0.096601i
844620,56.625,15.125,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,54,244.7794,0+0.76758i
844621,56.625,15.375,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,170,0.0017842,0.41078
844621,56.625,15.375,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,170,0.00067068,0.34052
844621,56.625,15.375,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,170,119.4733,0.34153
844622,56.625,15.625,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,177,0.0018864,0.41946
844622,56.625,15.625,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,177,0.00048929,0.65505
844622,56.625,15.625,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,177,120.3222,0.27971
844623,56.625,15.875,Evergreen Needleleaf Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,6,0.0018690999999999998,0+2.0965i
844623,56.625,15.875,Evergreen Needleleaf Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,6,0.0020879,0+0.28616i
844623,56.625,15.875,Evergreen Needleleaf Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,6,138.8707,0+0.19514i
844624,56.625,16.125,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,1,,
844624,56.625,16.125,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,1,,
844624,56.625,16.125,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,1,,
844626,56.625,16.625,Mixed Forest ,SMAP L3 Enhanced,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
844626,56.625,16.625,Mixed Forest ,ERA5 0-1,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
844626,56.625,16.625,Mixed Forest ,ASCAT 12.5 TS,SMAP L3 Enhanced_ERA5 0-1_ASCAT 12.5 TS,anomaly,0,,
