network,eval_dataset,timefilter,anomaly,pearson_r,pearson_r_p-value,bias,rmsd,ubrmsd,n,pearson_sig
HOBE,ERA5 0-1,Y2017-spring,absolute,0.2061897541231,1.3313491227782288e-149,-0.0006390676444985032,0.12243206752860285,0.1224303996231088,15623,True
HOBE,ERA5 0-1,Y2018-spring,absolute,0.333657437223003,0.0,-0.03302445592209163,0.09696363792527207,0.09116650915085588,15146,True
HOBE,ERA5 0-1,Y2015-summer,absolute,0.2211125089164844,3.822326161984272e-276,-0.046095610123638366,0.10216698552716012,0.09117723213081468,25154,True
HOBE,ERA5 0-1,Y2016-summer,absolute,0.22224313807551035,3.087039379361175e-249,-0.0334731936208571,0.10280014314300154,0.09719781241901598,22448,True
HOBE,ERA5 0-1,Y2017-summer,absolute,0.249160815859352,6.523296899203551e-256,-0.03915582024806544,0.0941025809973059,0.0855693723890488,18221,True
HOBE,ERA5 0-1,Y2018-summer,absolute,0.5007521046383058,0.0,-0.0071813453826638654,0.05861513223239651,0.058173550734987985,18920,True
HOBE,ERA5 0-1,Y2015-fall,absolute,0.17460142951062066,1.2555301034894812e-122,-0.027575839554029983,0.10852669747451046,0.10496483762486516,17916,True
HOBE,ERA5 0-1,Y2016-fall,absolute,0.2479870078752981,5.777999808313718e-237,-0.026625568795313054,0.10506900557777472,0.10163943633958478,17026,True
HOBE,ERA5 0-1,Y2017-fall,absolute,0.1774685403871628,1.4382793545636776e-154,-0.010542839495940148,0.10701830493602864,0.10649772827034228,21922,True
HOBE,ERA5 0-1,Y2018-fall,absolute,0.19291788459798415,6.657047603262241e-97,-0.0631893926477233,0.0835538428365284,0.05466575993767157,11508,True
HOBE,ERA5 0-1,M01,absolute,0.18605050269700274,7.740586041531935e-188,-0.02648815605655863,0.14539941723883867,0.1429663181386346,24258,True
HOBE,ERA5 0-1,M02,absolute,0.19598954254669326,2.417774995145718e-186,-0.02526715965206536,0.13475456132152255,0.132364505967699,21642,True
HOBE,ERA5 0-1,M03,absolute,0.1070868785881554,2.302407158899424e-40,-0.008089798099739256,0.1282972405005349,0.12804193487587395,15340,True
HOBE,ERA5 0-1,M04,absolute,0.20617339848119254,9.641742303805046e-196,-0.0034757497108868496,0.11579013713546996,0.11573795843109642,20511,True
HOBE,ERA5 0-1,M05,absolute,0.19436451459160647,5.2075817038536245e-228,-0.009877339034160798,0.10560263539134232,0.1051396917210671,26990,True
